feature,mean_abs_shap,mean_shap,rank,impact_direction
cellphone_access,0.4021369,-0.14927475,1,↓ Decreases banking
country_Tanzania,0.32600734,-0.11402281,2,↓ Decreases banking
inclusion_score,0.3027096,-0.1786444,3,↓ Decreases banking
edu_x_mobile,0.29520756,-0.123158164,4,↓ Decreases banking
age_x_education,0.24836625,-0.13337937,5,↓ Decreases banking
job_type_te,0.20855583,-0.06607479,6,↓ Decreases banking
gender_of_respondent,0.1909863,-0.019523002,7,↓ Decreases banking
edu_x_employment,0.15524404,-0.08015856,8,↓ Decreases banking
age_of_respondent,0.13424046,-0.061054714,9,↓ Decreases banking
country_Uganda,0.13406569,-0.021905191,10,↓ Decreases banking
country_Rwanda,0.09679373,-0.009377763,11,↓ Decreases banking
location_type,0.09572883,-0.004194395,12,↓ Decreases banking
age_squared,0.07536031,-0.03418432,13,↓ Decreases banking
education_level_te,0.0640084,-0.026885984,14,↓ Decreases banking
mobile_x_urban,0.061797637,-0.0067417007,15,↓ Decreases banking
is_household_head,0.05671786,-0.00940373,16,↓ Decreases banking
marital_status_te,0.051326282,-0.026021782,17,↓ Decreases banking
relationship_with_head_te,0.045758676,-0.0144186225,18,↓ Decreases banking
relationship_rank,0.038111337,-0.004617653,19,↓ Decreases banking
age_group,0.034085244,-0.016330877,20,↓ Decreases banking
household_size,0.033297375,-0.012642289,21,↓ Decreases banking
employment_rank,0.028768511,-0.007750382,22,↓ Decreases banking
is_married,0.023521319,-0.005286237,23,↓ Decreases banking
marital_rank,0.019947289,-0.005439845,24,↓ Decreases banking
household_size_log,0.013905098,-0.004305826,25,↓ Decreases banking
head_x_formal,0.012493402,-0.005174501,26,↓ Decreases banking
education_rank,0.012436863,-0.002197566,27,↓ Decreases banking
is_dependent,0.008258597,2.4103316e-05,28,↑ Increases banking
married_x_head,0.00787003,-0.004232817,29,↓ Decreases banking
is_formal_employed,0.0019518301,-0.0010544707,30,↓ Decreases banking
formal_x_urban,0.001335874,-0.00051610847,31,↓ Decreases banking
